t	S1+	S3+	S9+	S27+	S81+
28	1.251661375	0.892438521	0.908317694	0.933045702	0.943926562
29	1.312415757	0.901483078	0.915214995	0.93748469	0.944488179
30	1.37317014	0.910527635	0.922112297	0.941923678	0.945049796
31	1.443173348	0.924227219	0.931030347	0.94578082	0.950390454
32	1.518260452	0.93495092	0.940093282	0.955651674	0.956952604
33	1.601173394	0.951176347	0.944431343	0.967076378	0.972016649
34	1.684422207	0.967257008	0.949895899	0.972289877	0.985113976
35	1.760633507	0.985286544	0.957903032	0.981135545	0.994947568
36	1.836085737	0.998555373	0.962955138	0.985713252	1.004594661
37	1.90410013	1.010527836	0.969713213	0.992336091	1.014526067
38	1.976005794	1.021363283	0.976449354	1.006332005	1.026795234
39	2.032401573	1.027788281	0.98348639	1.013264367	1.032135891
40	2.081148932	1.029666315	0.988472545	1.022112481	1.035126213
41	2.114430927	1.028366472	0.983855713	1.016169939	1.02996162
42	2.142135477	1.03125339	0.977633202	1.013021032	1.022609546
43	2.172268785	1.032963741	0.97466617	1.005984927	1.013214349
44	2.206526127	1.03265291	0.969172922	0.995737255	1.005271832
45	2.24740181	1.033239795	0.965353543	0.98680225	1.000891414
46	2.286640809	1.032937968	0.958849192	0.98707613	0.998772105
47	2.320798008	1.036012892	0.953697456	0.98151376	0.992386232
48	2.36192623	1.034725005	0.952153058	0.980835581	0.991275715
49	2.411376057	1.036916044	0.952066359	0.978018531	0.991157034
50	2.463595821	1.041568445	0.956959866	0.982496052	0.996795605
51	2.504047879	1.052410828	0.956774908	0.98272725	0.998211304
52	2.537448183	1.056558152	0.952792534	0.984168379	0.999694167
53	2.570000763	1.063472221	0.944641347	0.978562734	0.998837315
54	2.603731026	1.059943083	0.940317958	0.977096283	0.996577746
55	2.637003519	1.064442538	0.9403675	0.971116572	0.991270879
56	2.667942164	1.066204592	0.942336827	0.972838103	0.990683994
57	2.702425713	1.068004374	0.946073331	0.969568312	0.991866953
58	2.736767641	1.073294169	0.948367774	0.969062939	0.99545229
59	2.774197892	1.077999034	0.955825132	0.970627967	0.999638739
60	2.805431287	1.089893246	0.963060591	0.973567983	0.999553967
61	2.839823427	1.104205426	0.96661544	0.974866541	1.002700325
62	2.865239717	1.121107727	0.974143224	0.980973411	1.005060909
63	2.883185251	1.141802426	0.979114982	0.986643842	1.015318363
64	2.879983169	1.154549578	0.984722067	0.989838218	1.017532225
65	2.879829037	1.170199857	0.986404472	0.99190862	1.020844867
66	2.876528567	1.183348886	0.993329721	0.995475113	1.021650205
67	2.883926881	1.20579352	1.006808523	1.004418595	1.029304614
68	2.88914038	1.224217376	1.021148091	1.01379246	1.038773032
69	2.904681977	1.249883833	1.032720914	1.026650884	1.053904896
70	2.928666029	1.274479373	1.051670793	1.039855806	1.067499297
71	2.970903849	1.30035292	1.069357387	1.053207451	1.080946799
72	3.024410611	1.325450276	1.085779001	1.06350818	1.08932948
73	3.089895291	1.351009138	1.101977039	1.073719987	1.102472157
74	3.1824618	1.389658213	1.123818579	1.085040948	1.119307945
75	3.296719506	1.427096762	1.152592734	1.101943249	1.137970902
76	3.416590022	1.462894912	1.178099428	1.121378939	1.153579261
77	3.528447782	1.495593324	1.202913504	1.1366842	1.1627738
78	3.666923406	1.537640407	1.227673084	1.156520929	1.177944789
79	3.808732399	1.584267059	1.256245217	1.179259183	1.197406097
80	3.961220891	1.629901553	1.287549332	1.203750684	1.223268183
81	4.114919206	1.671682208	1.320525773	1.227108725	1.246919666
82	4.273191099	1.719086251	1.354558016	1.249723675	1.270734174
83	4.445278957	1.764468799	1.385815891	1.275768347	1.298474293
84	4.599728112	1.817137577	1.424387308	1.302698006	1.323348455
85	4.770742977	1.867821657	1.460246009	1.325628925	1.352105843
86	4.960593902	1.920962738	1.500467226	1.351110424	1.369818605
87	5.109157435	1.970378494	1.535393432	1.375851838	1.398405516
88	5.274424379	2.019380635	1.570489182	1.406462361	1.422976454
89	5.388609466	2.073150521	1.601815824	1.428049075	1.448568013
90	5.522740507	2.116063027	1.626280351	1.447941511	1.465633677
91	5.603981757	2.149384613	1.647897299	1.46348953	1.478936414
92	5.647003722	2.168755094	1.663732773	1.476948769	1.489778797
93	5.663004501	2.178267762	1.669362427	1.480819605	1.49296932
94	5.6534522	2.187967674	1.671709969	1.479556497	1.494025714
95	5.643899898	2.197667587	1.674057511	1.478293389	1.495082107
