Time (min)	Value (mAU)
0	0
0.001667	0.000103
0.003333	0.000563
0.005	0.001464
0.006667	0.002626
0.008333	0.003916
0.01	0.005226
0.011667	0.006406
0.013333	0.007418
0.015	0.008364
0.016667	0.009505
0.018333	0.011017
0.02	0.012505
0.021667	0.01323
0.023333	0.012935
0.025	0.012105
0.026667	0.011578
0.028333	0.012115
0.03	0.013829
0.031667	0.015691
0.033333	0.016261
0.035	0.015271
0.036667	0.013728
0.038333	0.012384
0.04	0.011106
0.041667	0.009749
0.043333	0.008605
0.045	0.007858
0.046667	0.007299
0.048333	0.006846
0.05	0.006725
0.051667	0.006889
0.053333	0.00714
0.055	0.007805
0.056667	0.0095
0.058333	0.012257
0.06	0.015287
0.061667	0.017916
0.063333	0.020471
0.065	0.023657
0.066667	0.027677
0.068333	0.032421
0.07	0.037382
0.071667	0.040942
0.073333	0.041184
0.075	0.038016
0.076667	0.033326
0.078333	0.02886
0.08	0.025265
0.081667	0.023171
0.083333	0.023455
0.085	0.025951
0.086667	0.029008
0.088333	0.030649
0.09	0.029694
0.091667	0.026159
0.093333	0.021299
0.095	0.017144
0.096667	0.015547
0.098333	0.017303
0.1	0.021751
0.101667	0.027111
0.103333	0.0314
0.105	0.033503
0.106667	0.033595
0.108333	0.032407
0.11	0.030555
0.111667	0.028696
0.113333	0.02757
0.115	0.027576
0.116667	0.028307
0.118333	0.028656
0.12	0.027848
0.121667	0.026155
0.123333	0.02396
0.125	0.021127
0.126667	0.018027
0.128333	0.015991
0.13	0.016259
0.131667	0.018837
0.133333	0.022254
0.135	0.024621
0.136667	0.025153
0.138333	0.024374
0.14	0.023177
0.141667	0.022354
0.143333	0.022507
0.145	0.023498
0.146667	0.024111
0.148333	0.022955
0.15	0.019868
0.151667	0.016148
0.153333	0.013253
0.155	0.011663
0.156667	0.010973
0.158333	0.010533
0.16	0.010189
0.161667	0.010431
0.163333	0.011513
0.165	0.012945
0.166667	0.014304
0.168333	0.01591
0.17	0.018314
0.171667	0.021532
0.173333	0.024885
0.175	0.027272
0.176667	0.027835
0.178333	0.026623
0.18	0.024474
0.181667	0.022322
0.183333	0.020855
0.185	0.020267
0.186667	0.020049
0.188333	0.019626
0.19	0.018885
0.191667	0.017543
0.193333	0.015231
0.195	0.012677
0.196667	0.011288
0.198333	0.011589
0.2	0.013063
0.201667	0.014959
0.203333	0.016705
0.205	0.017873
